State,County,Students eligible for free lunch (%) 2015 (PCT_FREE_LUNCH15),Units,FIPS,FID
Georgia,Bulloch,56.51302605210421,Percent,13031,579
Georgia,Burke,99.65277777777779,Percent,13033,583
Georgia,Butts,86.88477127967575,Percent,13035,588
Georgia,Calhoun,78.80341880341881,Percent,13037,592
Georgia,Camden,41.76906896933466,Percent,13039,603
Georgia,Candler,64.28243924805135,Percent,13043,616
Georgia,Carroll,53.865601456237044,Percent,13045,620
Georgia,Catoosa,40.82971449690474,Percent,13047,626
Georgia,Charlton,65.15597410241318,Percent,13049,635
Georgia,Chatham,59.05248878221852,Percent,13051,646
Georgia,Chattahoochee,nan,Percent,13053,656
Georgia,Chattooga,57.763532763532766,Percent,13055,659
Georgia,Cherokee,25.9912833388602,Percent,13057,662
Georgia,Clarke,92.07875804619462,Percent,13059,666
Georgia,Clay,96.66666666666667,Percent,13061,670
Georgia,Clayton,90.53212341197822,Percent,13063,673
Georgia,Clinch,82.3402727925341,Percent,13065,676
Georgia,Cobb,39.94194985980809,Percent,13067,680
Georgia,Coffee,83.3676622039135,Percent,13069,684
Georgia,Colquitt,95.03789058444929,Percent,13071,689
Georgia,Columbia,25.9131633356306,Percent,13073,692
Georgia,Cook,79.63581183611532,Percent,13075,697
Georgia,Coweta,34.94664634146341,Percent,13077,700
Georgia,Crawford,94.17195614541258,Percent,13079,704
Georgia,Crisp,97.56385998107852,Percent,13081,707
Georgia,Dade,45.817843866171,Percent,13083,708
Georgia,Dawson,37.41712309022773,Percent,13085,713
Georgia,Decatur,94.56766917293234,Percent,13087,714
Georgia,DeKalb,65.04737527504602,Percent,13089,718
Georgia,Dodge,nan,Percent,13091,720
Georgia,Dooly,99.36350777934936,Percent,13093,724
Georgia,Dougherty,99.53932214544258,Percent,13095,728
Georgia,Douglas,53.95525830258303,Percent,13097,731
Georgia,Early,96.31626235399821,Percent,13099,735
Georgia,Echols,90.81015719467956,Percent,13101,737
Georgia,Effingham,32.15130023640662,Percent,13103,742
Georgia,Elbert,82.72166287755765,Percent,13105,746
Georgia,Emanuel,87.61882680268954,Percent,13107,750
Georgia,Evans,nan,Percent,13109,754
Georgia,Fannin,49.30532023043036,Percent,13111,755
Georgia,Fayette,21.107128634010355,Percent,13113,760
Georgia,Floyd,63.35938454023691,Percent,13115,764
Georgia,Forsyth,14.309262520886962,Percent,13117,768
Georgia,Franklin,51.64835164835166,Percent,13119,772
Georgia,Fulton,55.005016962109984,Percent,13121,779
Georgia,Gilmer,59.65787598004276,Percent,13123,781
Georgia,Glascock,46.815834767641995,Percent,13125,783
Georgia,Glynn,55.4060116644235,Percent,13127,793
Georgia,Gordon,54.211248285322355,Percent,13129,796
Georgia,Grady,88.67678958785248,Percent,13131,797
Georgia,Greene,98.55789039967038,Percent,13133,800
Georgia,Gwinnett,46.00861625165958,Percent,13135,804
Georgia,Habersham,52.75529265255293,Percent,13137,806
Georgia,Hall,56.52223230490018,Percent,13139,808
Georgia,Hancock,99.08163265306122,Percent,13141,810
Georgia,Haralson,38.958333333333336,Percent,13143,813
Georgia,Harris,32.10436755530346,Percent,13145,814
Georgia,Hart,52.12432278300542,Percent,13147,816
Georgia,Heard,56.96015740285293,Percent,13149,817
Georgia,Henry,43.86896221903395,Percent,13151,820
Georgia,Houston,55.55906063792499,Percent,13153,823
Georgia,Irwin,72.17537942664418,Percent,13155,825
Georgia,Jackson,39.07915993537964,Percent,13157,828
Georgia,Jasper,59.975267930750206,Percent,13159,830
Georgia,Jeff Davis,85.05487411233054,Percent,13161,832
Georgia,Jefferson,96.98291530352598,Percent,13163,834
Georgia,Jenkins,99.27125506072875,Percent,13165,835
Georgia,Johnson,90.19776440240757,Percent,13167,837
Georgia,Jones,45.054545454545455,Percent,13169,839
Georgia,Lamar,63.3710324699015,Percent,13171,841
Georgia,Lanier,95.64974902398215,Percent,13173,845
Georgia,Laurens,68.00175573356742,Percent,13175,847
Georgia,Lee,34.89421281891724,Percent,13177,849
Georgia,Liberty,nan,Percent,13179,855
Georgia,Lincoln,63.68948247078464,Percent,13181,857
Georgia,Long,64.975637718544,Percent,13183,860
Georgia,Lowndes,66.85489026209248,Percent,13185,863
Georgia,Lumpkin,42.21388367729831,Percent,13187,865
Georgia,McDuffie,66.1998575836696,Percent,13189,868
Georgia,McIntosh,80.86253369272237,Percent,13191,871
Georgia,Macon,99.40944881889764,Percent,13193,874
Georgia,Madison,44.733624454148476,Percent,13195,875
Georgia,Marion,84.85263879369431,Percent,13197,877
Georgia,Meriwether,89.42143101677507,Percent,13199,879
Georgia,Miller,90.0668576886342,Percent,13201,881
Georgia,Mitchell,98.5362095531587,Percent,13205,883
Georgia,Monroe,45.420699925539836,Percent,13207,885
Georgia,Montgomery,66.38297872340425,Percent,13209,887
Georgia,Morgan,43.510971786833856,Percent,13211,890
Georgia,Murray,69.62671905697447,Percent,13213,892
Georgia,Muscogee,68.67628195100585,Percent,13215,896
Georgia,Newton,61.58607742655639,Percent,13217,899
Georgia,Oconee,16.792738275340394,Percent,13219,901
Georgia,Oglethorpe,50.446638457921956,Percent,13221,905
Georgia,Paulding,33.49858604196488,Percent,13223,908
Georgia,Peach,87.5,Percent,13225,910
Georgia,Pickens,42.735632183908045,Percent,13227,912
Georgia,Pierce,51.26721763085399,Percent,13229,915
Georgia,Pike,34.11626541397534,Percent,13231,7
Georgia,Polk,83.14966683751922,Percent,13233,8
Georgia,Pulaski,81.88353702372395,Percent,13235,11
Georgia,Putnam,67.09745022703459,Percent,13237,13
Georgia,Quitman,98.10725552050474,Percent,13239,16
Georgia,Rabun,55.24691358024691,Percent,13241,18
Georgia,Randolph,87.40310077519379,Percent,13243,23
Georgia,Richmond,95.10253769079502,Percent,13245,24
Georgia,Rockdale,62.423986995002714,Percent,13247,28
Georgia,Schley,44.39461883408072,Percent,13249,31
Georgia,Screven,63.31569664902999,Percent,13251,34
Georgia,Seminole,92.59731971920868,Percent,13253,38
Georgia,Spalding,68.09277848162947,Percent,13255,41
Georgia,Stephens,70.4789833822092,Percent,13257,45
Georgia,Stewart,98.26254826254826,Percent,13259,48
Georgia,Sumter,97.17271051014137,Percent,13261,52
Georgia,Talbot,99.41972920696325,Percent,13263,57
Georgia,Taliaferro,84.93975903614458,Percent,13265,60
