State,County,School Breakfast Program participants (change % children) 2012-17 (PCH_SBP_12_17),Units,FIPS,FID
Florida,Monroe,4.134603951866904,Percentage points,12087,963
Florida,Nassau,4.134603951866904,Percentage points,12089,964
Florida,Okaloosa,4.134603951866904,Percentage points,12091,965
Florida,Okeechobee,4.134603951866904,Percentage points,12093,966
Florida,Orange,4.134603951866904,Percentage points,12095,967
Florida,Osceola,4.134603951866904,Percentage points,12097,968
Florida,Palm Beach,4.134603951866904,Percentage points,12099,969
Florida,Pasco,4.134603951866904,Percentage points,12101,970
Florida,Pinellas,4.134603951866904,Percentage points,12103,971
Florida,Polk,4.134603951866904,Percentage points,12105,972
Florida,Putnam,4.134603951866904,Percentage points,12107,973
Florida,St. Johns,4.134603951866904,Percentage points,12109,974
Florida,St. Lucie,4.134603951866904,Percentage points,12111,975
Florida,Santa Rosa,4.134603951866904,Percentage points,12113,976
Florida,Sarasota,4.134603951866904,Percentage points,12115,977
Florida,Seminole,4.134603951866904,Percentage points,12117,978
Florida,Sumter,4.134603951866904,Percentage points,12119,979
Florida,Suwannee,4.134603951866904,Percentage points,12121,980
Florida,Taylor,4.134603951866904,Percentage points,12123,981
Florida,Union,4.134603951866904,Percentage points,12125,982
Florida,Volusia,4.134603951866904,Percentage points,12127,983
Florida,Wakulla,4.134603951866904,Percentage points,12129,984
Florida,Walton,4.134603951866904,Percentage points,12131,985
Florida,Washington,4.134603951866904,Percentage points,12133,986
Georgia,Appling,0.8014540936078589,Percentage points,13001,987
Georgia,Atkinson,0.8014540936078589,Percentage points,13003,988
Georgia,Bacon,0.8014540936078589,Percentage points,13005,989
Georgia,Baker,0.8014540936078589,Percentage points,13007,990
Georgia,Baldwin,0.8014540936078589,Percentage points,13009,991
Georgia,Banks,0.8014540936078589,Percentage points,13011,992
Georgia,Barrow,0.8014540936078589,Percentage points,13013,993
Georgia,Bartow,0.8014540936078589,Percentage points,13015,994
Georgia,Ben Hill,0.8014540936078589,Percentage points,13017,995
Georgia,Berrien,0.8014540936078589,Percentage points,13019,996
Georgia,Bibb,0.8014540936078589,Percentage points,13021,997
Georgia,Bleckley,0.8014540936078589,Percentage points,13023,998
Georgia,Brantley,0.8014540936078589,Percentage points,13025,999
Georgia,Brooks,0.8014540936078589,Percentage points,13027,565
Georgia,Bryan,0.8014540936078589,Percentage points,13029,573
Georgia,Bulloch,0.8014540936078589,Percentage points,13031,579
Georgia,Burke,0.8014540936078589,Percentage points,13033,583
Georgia,Butts,0.8014540936078589,Percentage points,13035,588
Georgia,Calhoun,0.8014540936078589,Percentage points,13037,592
Georgia,Camden,0.8014540936078589,Percentage points,13039,603
Georgia,Candler,0.8014540936078589,Percentage points,13043,616
Georgia,Carroll,0.8014540936078589,Percentage points,13045,620
Georgia,Catoosa,0.8014540936078589,Percentage points,13047,626
Georgia,Charlton,0.8014540936078589,Percentage points,13049,635
Georgia,Chatham,0.8014540936078589,Percentage points,13051,646
Georgia,Chattahoochee,0.8014540936078589,Percentage points,13053,656
Georgia,Chattooga,0.8014540936078589,Percentage points,13055,659
Georgia,Cherokee,0.8014540936078589,Percentage points,13057,662
Georgia,Clarke,0.8014540936078589,Percentage points,13059,666
Georgia,Clay,0.8014540936078589,Percentage points,13061,670
Georgia,Clayton,0.8014540936078589,Percentage points,13063,673
Georgia,Clinch,0.8014540936078589,Percentage points,13065,676
Georgia,Cobb,0.8014540936078589,Percentage points,13067,680
Georgia,Coffee,0.8014540936078589,Percentage points,13069,684
Georgia,Colquitt,0.8014540936078589,Percentage points,13071,689
Georgia,Columbia,0.8014540936078589,Percentage points,13073,692
Georgia,Cook,0.8014540936078589,Percentage points,13075,697
Georgia,Coweta,0.8014540936078589,Percentage points,13077,700
Georgia,Crawford,0.8014540936078589,Percentage points,13079,704
Georgia,Crisp,0.8014540936078589,Percentage points,13081,707
Georgia,Dade,0.8014540936078589,Percentage points,13083,708
Georgia,Dawson,0.8014540936078589,Percentage points,13085,713
