State,County,Vegetable acres harvested for fresh market per 1000 pop 2012 (FRESHVEG_ACRESPTH12),Units,FIPS,FID
Colorado,Kit Carson,0.123395853899309,"Acres/1,000 pop",8063.0,716
Colorado,Lake,0.0,"Acres/1,000 pop",8065.0,721
Colorado,La Plata,0.38235800179708257,"Acres/1,000 pop",8067.0,727
Colorado,Larimer,4.463453066212175,"Acres/1,000 pop",8069.0,734
Colorado,Las Animas,0.33420225920727226,"Acres/1,000 pop",8071.0,741
Colorado,Lincoln,0.0,"Acres/1,000 pop",8073.0,747
Colorado,Logan,0.2286341396497325,"Acres/1,000 pop",8075.0,749
Colorado,Mesa,3.7232602220417004,"Acres/1,000 pop",8077.0,751
Colorado,Mineral,0.0,"Acres/1,000 pop",8079.0,757
Colorado,Moffat,0.6072567177774404,"Acres/1,000 pop",8081.0,758
Colorado,Montezuma,2.3203681126361744,"Acres/1,000 pop",8083.0,766
Colorado,Montrose,75.24874094091635,"Acres/1,000 pop",8085.0,769
Colorado,Morgan,nan,"Acres/1,000 pop",8087.0,775
Colorado,Otero,nan,"Acres/1,000 pop",8089.0,777
Colorado,Ouray,0.43956043956043955,"Acres/1,000 pop",8091.0,780
Colorado,Park,0.0,"Acres/1,000 pop",8093.0,782
Colorado,Phillips,0.0,"Acres/1,000 pop",8095.0,785
Colorado,Pitkin,nan,"Acres/1,000 pop",8097.0,789
Colorado,Prowers,121.80366217633298,"Acres/1,000 pop",8099.0,792
Colorado,Pueblo,nan,"Acres/1,000 pop",8101.0,795
Colorado,Rio Blanco,nan,"Acres/1,000 pop",8103.0,799
Colorado,Rio Grande,nan,"Acres/1,000 pop",8105.0,802
Colorado,Routt,nan,"Acres/1,000 pop",8107.0,809
Colorado,Saguache,nan,"Acres/1,000 pop",8109.0,811
Colorado,San Juan,0.0,"Acres/1,000 pop",8111.0,347
Colorado,San Miguel,0.39556962025316456,"Acres/1,000 pop",8113.0,359
Colorado,Sedgwick,nan,"Acres/1,000 pop",8115.0,366
Colorado,Summit,0.0,"Acres/1,000 pop",8117.0,373
Colorado,Teller,nan,"Acres/1,000 pop",8119.0,375
Colorado,Washington,0.0,"Acres/1,000 pop",8121.0,377
Colorado,Weld,36.93438892611986,"Acres/1,000 pop",8123.0,382
Colorado,Yuma,nan,"Acres/1,000 pop",8125.0,385
Connecticut,Fairfield,0.2972505394348818,"Acres/1,000 pop",9001.0,410
Connecticut,Hartford,4.775126539738661,"Acres/1,000 pop",9003.0,432
Connecticut,Litchfield,3.9476140940492384,"Acres/1,000 pop",9005.0,443
Connecticut,Middlesex,nan,"Acres/1,000 pop",9007.0,450
Connecticut,New Haven,1.857808757976713,"Acres/1,000 pop",9009.0,466
Connecticut,New London,nan,"Acres/1,000 pop",9011.0,517
Connecticut,Tolland,6.404096515592297,"Acres/1,000 pop",9013.0,524
Connecticut,Windham,2.7895067066863377,"Acres/1,000 pop",9015.0,529
Delaware,Kent,28.142544343748323,"Acres/1,000 pop",10001.0,532
Delaware,New Castle,0.5712078299411766,"Acres/1,000 pop",10003.0,536
Delaware,Sussex,23.0178524870005,"Acres/1,000 pop",10005.0,609
District of Columbia,District of Columbia,nan,"Acres/1,000 pop",11001.0,630
Florida,Alachua,11.43565556345835,"Acres/1,000 pop",12001.0,639
Florida,Baker,5.1012864113559075,"Acres/1,000 pop",12003.0,641
Florida,Bay,0.02326663564448581,"Acres/1,000 pop",12005.0,658
Florida,Bradford,2.690450742638116,"Acres/1,000 pop",12007.0,665
Florida,Brevard,0.20456807824728993,"Acres/1,000 pop",12009.0,686
Florida,Broward,nan,"Acres/1,000 pop",12011.0,695
Florida,Calhoun,nan,"Acres/1,000 pop",12013.0,699
Florida,Charlotte,21.13848100177485,"Acres/1,000 pop",12015.0,743
Florida,Citrus,nan,"Acres/1,000 pop",12017.0,843
Florida,Clay,0.13378545957878163,"Acres/1,000 pop",12019.0,852
Florida,Collier,nan,"Acres/1,000 pop",12021.0,894
Florida,Columbia,5.227430018700947,"Acres/1,000 pop",12023.0,903
Florida,DeSoto,nan,"Acres/1,000 pop",12027.0,906
Florida,Dixie,nan,"Acres/1,000 pop",12029.0,918
Florida,Duval,0.0204322789142287,"Acres/1,000 pop",12031.0,924
Florida,Escambia,1.2327780900815608,"Acres/1,000 pop",12033.0,931
Florida,Flagler,nan,"Acres/1,000 pop",12035.0,935
Florida,Franklin,0.0,"Acres/1,000 pop",12037.0,937
Florida,Gadsden,18.599656357388316,"Acres/1,000 pop",12039.0,938
Florida,Gilchrist,nan,"Acres/1,000 pop",12041.0,939
Florida,Glades,nan,"Acres/1,000 pop",12043.0,940
Florida,Gulf,nan,"Acres/1,000 pop",12045.0,941
Florida,Hamilton,nan,"Acres/1,000 pop",12047.0,942
Florida,Hardee,nan,"Acres/1,000 pop",12049.0,943
Florida,Hendry,nan,"Acres/1,000 pop",12051.0,944
Florida,Hernando,nan,"Acres/1,000 pop",12053.0,945
Florida,Highlands,nan,"Acres/1,000 pop",12055.0,946
Florida,Hillsborough,10.209846083741805,"Acres/1,000 pop",12057.0,947
Florida,Holmes,5.828687278256462,"Acres/1,000 pop",12059.0,948
Florida,Indian River,nan,"Acres/1,000 pop",12061.0,949
Florida,Jackson,38.97747922494232,"Acres/1,000 pop",12063.0,950
Florida,Jefferson,nan,"Acres/1,000 pop",12065.0,951
Florida,Lafayette,nan,"Acres/1,000 pop",12067.0,952
Florida,Lake,nan,"Acres/1,000 pop",12069.0,953
Florida,Lee,nan,"Acres/1,000 pop",12071.0,954
Florida,Leon,0.1338739963854021,"Acres/1,000 pop",12073.0,955
Florida,Levy,32.85091892433272,"Acres/1,000 pop",12075.0,956
Florida,Liberty,0.0,"Acres/1,000 pop",12077.0,957
Florida,Madison,nan,"Acres/1,000 pop",12079.0,958
Florida,Manatee,74.16889751283111,"Acres/1,000 pop",12081.0,959
Florida,Marion,nan,"Acres/1,000 pop",12083.0,960
Florida,Martin,nan,"Acres/1,000 pop",12085.0,961
Florida,Miami-Dade,10.30490777551784,"Acres/1,000 pop",12086.0,962
Florida,Monroe,0.0,"Acres/1,000 pop",12087.0,963
Florida,Nassau,0.6834995175297524,"Acres/1,000 pop",12089.0,964
Florida,Okaloosa,0.36802010441256106,"Acres/1,000 pop",12091.0,965
Florida,Okeechobee,nan,"Acres/1,000 pop",12093.0,966
Florida,Orange,0.03825344738404631,"Acres/1,000 pop",12095.0,967
Florida,Osceola,nan,"Acres/1,000 pop",12097.0,968
Florida,Palm Beach,44.15869893609816,"Acres/1,000 pop",12099.0,969
Florida,Pasco,0.235860081849823,"Acres/1,000 pop",12101.0,970
Florida,Pinellas,nan,"Acres/1,000 pop",12103.0,971
Florida,Polk,nan,"Acres/1,000 pop",12105.0,972
Florida,Putnam,42.37322931636214,"Acres/1,000 pop",12107.0,973
Florida,St. Johns,34.90884637635296,"Acres/1,000 pop",12109.0,974
Florida,St. Lucie,0.07406754254474915,"Acres/1,000 pop",12111.0,975
Florida,Santa Rosa,nan,"Acres/1,000 pop",12113.0,976
Florida,Sarasota,nan,"Acres/1,000 pop",12115.0,977
Florida,Seminole,0.0996847181008902,"Acres/1,000 pop",12117.0,978
Florida,Sumter,nan,"Acres/1,000 pop",12119.0,979
Florida,Suwannee,173.45906163753452,"Acres/1,000 pop",12121.0,980
