State,County,Direct farm sales (% change) 2007 - 12 (PCH_DIRSALES_07_12),Units,FIPS,FID
Georgia,Habersham,2.247191011235955,% change,13137.0,806
Georgia,Hall,-21.38364779874214,% change,13139.0,808
Georgia,Hancock,240.0,% change,13141.0,810
Georgia,Haralson,121.42857142857142,% change,13143.0,813
Georgia,Harris,40.476190476190474,% change,13145.0,814
Georgia,Hart,-17.543859649122805,% change,13147.0,816
Georgia,Heard,-63.63636363636363,% change,13149.0,817
Georgia,Henry,675.0,% change,13151.0,820
Georgia,Houston,72.0,% change,13153.0,823
Georgia,Irwin,-83.33333333333334,% change,13155.0,825
Georgia,Jackson,-61.261261261261254,% change,13157.0,828
Georgia,Jasper,-4.761904761904762,% change,13159.0,830
Georgia,Jeff Davis,nan,% change,13161.0,832
Georgia,Jefferson,-2.0,% change,13163.0,834
Georgia,Jenkins,nan,% change,13165.0,835
Georgia,Johnson,-44.44444444444444,% change,13167.0,837
Georgia,Jones,900.0,% change,13169.0,839
Georgia,Lamar,19.047619047619047,% change,13171.0,841
Georgia,Lanier,-50.0,% change,13173.0,845
Georgia,Laurens,43.24324324324324,% change,13175.0,847
Georgia,Lee,-66.66666666666666,% change,13177.0,849
Georgia,Liberty,nan,% change,13179.0,855
Georgia,Lincoln,nan,% change,13181.0,857
Georgia,Long,nan,% change,13183.0,860
Georgia,Lowndes,-63.358778625954194,% change,13185.0,863
Georgia,Lumpkin,-87.27272727272727,% change,13187.0,865
Georgia,McDuffie,422.22222222222223,% change,13189.0,868
Georgia,McIntosh,700.0,% change,13191.0,871
Georgia,Macon,338.88888888888886,% change,13193.0,874
Georgia,Madison,-12.272727272727273,% change,13195.0,875
Georgia,Marion,-44.73684210526316,% change,13197.0,877
Georgia,Meriwether,352.94117647058823,% change,13199.0,879
Georgia,Miller,-60.810810810810814,% change,13201.0,881
Georgia,Mitchell,-81.5028901734104,% change,13205.0,883
Georgia,Monroe,27.27272727272727,% change,13207.0,885
Georgia,Montgomery,-84.21052631578947,% change,13209.0,887
Georgia,Morgan,283.33333333333337,% change,13211.0,890
