State,County,SNAP participants (% pop) 2017 (PCT_SNAP17),Units,FIPS,FID
Georgia,Chattooga,15.584961961781232,Percent,13055,659
Georgia,Cherokee,15.584961961781232,Percent,13057,662
Georgia,Clarke,15.584961961781232,Percent,13059,666
Georgia,Clay,15.584961961781232,Percent,13061,670
Georgia,Clayton,15.584961961781232,Percent,13063,673
Georgia,Clinch,15.584961961781232,Percent,13065,676
Georgia,Cobb,15.584961961781232,Percent,13067,680
Georgia,Coffee,15.584961961781232,Percent,13069,684
Georgia,Colquitt,15.584961961781232,Percent,13071,689
Georgia,Columbia,15.584961961781232,Percent,13073,692
Georgia,Cook,15.584961961781232,Percent,13075,697
Georgia,Coweta,15.584961961781232,Percent,13077,700
Georgia,Crawford,15.584961961781232,Percent,13079,704
Georgia,Crisp,15.584961961781232,Percent,13081,707
Georgia,Dade,15.584961961781232,Percent,13083,708
Georgia,Dawson,15.584961961781232,Percent,13085,713
Georgia,Decatur,15.584961961781232,Percent,13087,714
Georgia,DeKalb,15.584961961781232,Percent,13089,718
Georgia,Dodge,15.584961961781232,Percent,13091,720
Georgia,Dooly,15.584961961781232,Percent,13093,724
Georgia,Dougherty,15.584961961781232,Percent,13095,728
Georgia,Douglas,15.584961961781232,Percent,13097,731
Georgia,Early,15.584961961781232,Percent,13099,735
Georgia,Echols,15.584961961781232,Percent,13101,737
Georgia,Effingham,15.584961961781232,Percent,13103,742
Georgia,Elbert,15.584961961781232,Percent,13105,746
Georgia,Emanuel,15.584961961781232,Percent,13107,750
Georgia,Evans,15.584961961781232,Percent,13109,754
Georgia,Fannin,15.584961961781232,Percent,13111,755
Georgia,Fayette,15.584961961781232,Percent,13113,760
Georgia,Floyd,15.584961961781232,Percent,13115,764
Georgia,Forsyth,15.584961961781232,Percent,13117,768
Georgia,Franklin,15.584961961781232,Percent,13119,772
Georgia,Fulton,15.584961961781232,Percent,13121,779
Georgia,Gilmer,15.584961961781232,Percent,13123,781
Georgia,Glascock,15.584961961781232,Percent,13125,783
Georgia,Glynn,15.584961961781232,Percent,13127,793
Georgia,Gordon,15.584961961781232,Percent,13129,796
Georgia,Grady,15.584961961781232,Percent,13131,797
Georgia,Greene,15.584961961781232,Percent,13133,800
Georgia,Gwinnett,15.584961961781232,Percent,13135,804
Georgia,Habersham,15.584961961781232,Percent,13137,806
Georgia,Hall,15.584961961781232,Percent,13139,808
Georgia,Hancock,15.584961961781232,Percent,13141,810
Georgia,Haralson,15.584961961781232,Percent,13143,813
Georgia,Harris,15.584961961781232,Percent,13145,814
Georgia,Hart,15.584961961781232,Percent,13147,816
Georgia,Heard,15.584961961781232,Percent,13149,817
Georgia,Henry,15.584961961781232,Percent,13151,820
Georgia,Houston,15.584961961781232,Percent,13153,823
Georgia,Irwin,15.584961961781232,Percent,13155,825
Georgia,Jackson,15.584961961781232,Percent,13157,828
Georgia,Jasper,15.584961961781232,Percent,13159,830
Georgia,Jeff Davis,15.584961961781232,Percent,13161,832
Georgia,Jefferson,15.584961961781232,Percent,13163,834
Georgia,Jenkins,15.584961961781232,Percent,13165,835
Georgia,Johnson,15.584961961781232,Percent,13167,837
Georgia,Jones,15.584961961781232,Percent,13169,839
Georgia,Lamar,15.584961961781232,Percent,13171,841
Georgia,Lanier,15.584961961781232,Percent,13173,845
Georgia,Laurens,15.584961961781232,Percent,13175,847
Georgia,Lee,15.584961961781232,Percent,13177,849
Georgia,Liberty,15.584961961781232,Percent,13179,855
Georgia,Lincoln,15.584961961781232,Percent,13181,857
Georgia,Long,15.584961961781232,Percent,13183,860
Georgia,Lowndes,15.584961961781232,Percent,13185,863
Georgia,Lumpkin,15.584961961781232,Percent,13187,865
Georgia,McDuffie,15.584961961781232,Percent,13189,868
Georgia,McIntosh,15.584961961781232,Percent,13191,871
Georgia,Macon,15.584961961781232,Percent,13193,874
Georgia,Madison,15.584961961781232,Percent,13195,875
Georgia,Marion,15.584961961781232,Percent,13197,877
Georgia,Meriwether,15.584961961781232,Percent,13199,879
Georgia,Miller,15.584961961781232,Percent,13201,881
Georgia,Mitchell,15.584961961781232,Percent,13205,883
Georgia,Monroe,15.584961961781232,Percent,13207,885
Georgia,Montgomery,15.584961961781232,Percent,13209,887
Georgia,Morgan,15.584961961781232,Percent,13211,890
Georgia,Murray,15.584961961781232,Percent,13213,892
Georgia,Muscogee,15.584961961781232,Percent,13215,896
Georgia,Newton,15.584961961781232,Percent,13217,899
Georgia,Oconee,15.584961961781232,Percent,13219,901
Georgia,Oglethorpe,15.584961961781232,Percent,13221,905
Georgia,Paulding,15.584961961781232,Percent,13223,908
Georgia,Peach,15.584961961781232,Percent,13225,910
Georgia,Pickens,15.584961961781232,Percent,13227,912
Georgia,Pierce,15.584961961781232,Percent,13229,915
Georgia,Pike,15.584961961781232,Percent,13231,7
Georgia,Polk,15.584961961781232,Percent,13233,8
Georgia,Pulaski,15.584961961781232,Percent,13235,11
Georgia,Putnam,15.584961961781232,Percent,13237,13
Georgia,Quitman,15.584961961781232,Percent,13239,16
Georgia,Rabun,15.584961961781232,Percent,13241,18
Georgia,Randolph,15.584961961781232,Percent,13243,23
Georgia,Richmond,15.584961961781232,Percent,13245,24
Georgia,Rockdale,15.584961961781232,Percent,13247,28
Georgia,Schley,15.584961961781232,Percent,13249,31
