State,County,Population low access to store (% change) 2010 -15 (PCH_LACCESS_POP_10_15),Units,FIPS,FID
Georgia,Pike,nan,% change,13231,7
Georgia,Polk,3.363909360152922,% change,13233,8
Georgia,Pulaski,0.0,% change,13235,11
Georgia,Putnam,-13.951326472773683,% change,13237,13
Georgia,Quitman,0.7472922818790457,% change,13239,16
Georgia,Rabun,-17.112631324853144,% change,13241,18
Georgia,Randolph,294.22029218508834,% change,13243,23
Georgia,Richmond,17.262931607004916,% change,13245,24
Georgia,Rockdale,-12.103111060999392,% change,13247,28
Georgia,Schley,-37.432019606801994,% change,13249,31
Georgia,Screven,-3.4208839964557014,% change,13251,34
Georgia,Seminole,-23.550941236249642,% change,13253,38
Georgia,Spalding,-8.286775970164078,% change,13255,41
Georgia,Stephens,29.348437669274947,% change,13257,45
Georgia,Stewart,-42.46610742403528,% change,13259,48
Georgia,Sumter,-4.8917459048148775,% change,13261,52
