State,County,Low income & low access to store (% change) 2010 - 15 (PCH_LACCESS_LOWI_10_15),Units,FIPS,FID
Georgia,Meriwether,184.81388405797367,% change,13199,879
Georgia,Miller,-25.198787002459515,% change,13201,881
Georgia,Mitchell,-15.432738696918276,% change,13205,883
Georgia,Monroe,10.19428000485095,% change,13207,885
Georgia,Montgomery,26.315270060886302,% change,13209,887
Georgia,Morgan,-9.058916901886109,% change,13211,890
Georgia,Murray,10.832766675080848,% change,13213,892
Georgia,Muscogee,-7.262288780426409,% change,13215,896
Georgia,Newton,19.772928433636782,% change,13217,899
Georgia,Oconee,18.685718120997894,% change,13219,901
Georgia,Oglethorpe,30.26985961143446,% change,13221,905
Georgia,Paulding,26.48813348195017,% change,13223,908
Georgia,Peach,-7.153625028306452,% change,13225,910
Georgia,Pickens,-29.911788090208507,% change,13227,912
Georgia,Pierce,30.650541664773705,% change,13229,915
Georgia,Pike,0,% change,13231,7
Georgia,Polk,-5.353559039713749,% change,13233,8
Georgia,Pulaski,-12.731036081976383,% change,13235,11
Georgia,Putnam,-3.6662045538453323,% change,13237,13
Georgia,Quitman,-13.66933784689012,% change,13239,16
Georgia,Rabun,-6.63120287192782,% change,13241,18
Georgia,Randolph,370.6844802643696,% change,13243,23
Georgia,Richmond,43.49255626011601,% change,13245,24
Georgia,Rockdale,10.334261066209562,% change,13247,28
Georgia,Schley,-46.22286316859204,% change,13249,31
Georgia,Screven,0.38210694150620933,% change,13251,34
Georgia,Seminole,-16.10584153938994,% change,13253,38
Georgia,Spalding,5.345839272888056,% change,13255,41
Georgia,Stephens,30.22663187949089,% change,13257,45
Georgia,Stewart,-15.175790088100383,% change,13259,48
Georgia,Sumter,19.459368861617442,% change,13261,52
Georgia,Talbot,405.6511801820815,% change,13263,57
