State,County,Hispanic ethnicity low access to store (%) 2015 (PCT_LACCESS_HISP15),Units,FIPS,FID
Georgia,Bibb,0.7934958079542325,Percent,13021,997
Georgia,Bleckley,0.19374441252929495,Percent,13023,998
Georgia,Brantley,0.0992722891817571,Percent,13025,999
Georgia,Brooks,0.5432273151345534,Percent,13027,565
Georgia,Bryan,1.5780728607769225,Percent,13029,573
Georgia,Bulloch,0.24419144206519788,Percent,13031,579
Georgia,Burke,0.19238780315897708,Percent,13033,583
Georgia,Butts,0.09579995704160853,Percent,13035,588
Georgia,Calhoun,0.22546647136286227,Percent,13037,592
Georgia,Camden,2.7370968035585097,Percent,13039,603
Georgia,Candler,0.29043197082071104,Percent,13043,616
Georgia,Carroll,2.1858387239808015,Percent,13045,620
Georgia,Catoosa,0.7713425537509805,Percent,13047,626
Georgia,Charlton,0.2519545503215956,Percent,13049,635
Georgia,Chatham,1.1575755529170175,Percent,13051,646
Georgia,Chattahoochee,12.117240609563327,Percent,13053,656
Georgia,Chattooga,0.32305703438638017,Percent,13055,659
Georgia,Cherokee,3.104824824016478,Percent,13057,662
Georgia,Clarke,5.0115408703877335,Percent,13059,666
Georgia,Clay,0.37700283758639647,Percent,13061,670
Georgia,Clayton,4.069153754064195,Percent,13063,673
Georgia,Clinch,0.2084201679649706,Percent,13065,676
Georgia,Cobb,4.213334811236996,Percent,13067,680
Georgia,Coffee,2.0357289573404334,Percent,13069,684
Georgia,Colquitt,3.21502892601477,Percent,13071,689
Georgia,Columbia,0.7840520608312624,Percent,13073,692
Georgia,Cook,1.2040586671808737,Percent,13075,697
Georgia,Coweta,1.8635443199879433,Percent,13077,700
Georgia,Crawford,0.003191440228570246,Percent,13079,704
Georgia,Crisp,0.4418805246283331,Percent,13081,707
Georgia,Dade,0.08477925246576144,Percent,13083,708
Georgia,Dawson,0.01001072581758061,Percent,13085,713
Georgia,Decatur,0.7055961847069571,Percent,13087,714
Georgia,DeKalb,0.8752158179306064,Percent,13089,718
Georgia,Dodge,0.06316838146501515,Percent,13091,720
Georgia,Dooly,0.0,Percent,13093,724
Georgia,Dougherty,0.6994316135987013,Percent,13095,728
Georgia,Douglas,3.6707406671352847,Percent,13097,731
Georgia,Early,0.30216693920349025,Percent,13099,735
Georgia,Echols,0.26119538086186667,Percent,13101,737
Georgia,Effingham,0.42940162660703535,Percent,13103,742
Georgia,Elbert,1.7932837675972677,Percent,13105,746
Georgia,Emanuel,0.8775702910831048,Percent,13107,750
Georgia,Evans,0.9415157783136272,Percent,13109,754
Georgia,Fannin,0.004457739812285575,Percent,13111,755
Georgia,Fayette,2.647602169163653,Percent,13113,760
Georgia,Floyd,1.8082249109580446,Percent,13115,764
Georgia,Forsyth,2.0564745024978035,Percent,13117,768
Georgia,Franklin,0.03586470982266646,Percent,13119,772
Georgia,Fulton,1.207387849961307,Percent,13121,779
Georgia,Gilmer,1.09667952329391,Percent,13123,781
Georgia,Glascock,0.7206181421605743,Percent,13125,783
Georgia,Glynn,2.099597101118278,Percent,13127,793
Georgia,Gordon,3.846532621346157,Percent,13129,796
Georgia,Grady,1.1696037534238373,Percent,13131,797
Georgia,Greene,0.22391600250090096,Percent,13133,800
Georgia,Gwinnett,4.567741204955837,Percent,13135,804
Georgia,Habersham,3.7471339331883318,Percent,13137,806
Georgia,Hall,6.512415474461833,Percent,13139,808
Georgia,Hancock,0.770528905138811,Percent,13141,810
Georgia,Haralson,0.10042305127733737,Percent,13143,813
Georgia,Harris,0.007862741369107295,Percent,13145,814
Georgia,Hart,0.3174324496255289,Percent,13147,816
Georgia,Heard,0.07161699519571776,Percent,13149,817
Georgia,Henry,1.7326002716182514,Percent,13151,820
Georgia,Houston,2.218799436150307,Percent,13153,823
Georgia,Irwin,0.31257371113383203,Percent,13155,825
Georgia,Jackson,0.43171610809241634,Percent,13157,828
Georgia,Jasper,1.3344362450116907,Percent,13159,830
Georgia,Jeff Davis,0.7218105851481019,Percent,13161,832
Georgia,Jefferson,0.032398540683957644,Percent,13163,834
Georgia,Jenkins,0.11807357343172686,Percent,13165,835
Georgia,Johnson,0.36762367890595293,Percent,13167,837
Georgia,Jones,0.09507965375782866,Percent,13169,839
Georgia,Lamar,0.10971831518599279,Percent,13171,841
Georgia,Lanier,0.2984801702108077,Percent,13173,845
Georgia,Laurens,0.1740596733240905,Percent,13175,847
Georgia,Lee,0.261454763484783,Percent,13177,849
Georgia,Liberty,4.841414027826943,Percent,13179,855
Georgia,Lincoln,0.025012506812199603,Percent,13181,857
Georgia,Long,0.5222514144932764,Percent,13183,860
Georgia,Lowndes,1.1160153158853918,Percent,13185,863
Georgia,Lumpkin,0.2813400403197217,Percent,13187,865
Georgia,McDuffie,0.14223335988630859,Percent,13189,868
Georgia,McIntosh,0.1551317451264334,Percent,13191,871
Georgia,Macon,0.6863929945997626,Percent,13193,874
Georgia,Madison,0.16324079323992924,Percent,13195,875
Georgia,Marion,0.0,Percent,13197,877
